index,country code,country,année,quantile,nb_quantiles,log_income,income,gdpppp,gini,population,cluster
10989,USA,United States,2008,91,100,4.706430660602162,50866.36,43261.0,43.2,23040000,1
10990,USA,United States,2008,92,100,4.726840941806069,53313.96,43261.0,43.2,23040000,1
10991,USA,United States,2008,93,100,4.749996968576944,56233.74,43261.0,43.2,23040000,1
10992,USA,United States,2008,94,100,4.776444765624321,59764.703,43261.0,43.2,23040000,1
10993,USA,United States,2008,95,100,4.806541848342505,64053.35,43261.0,43.2,23040000,1
10994,USA,United States,2008,96,100,4.8446409838403,69926.37,43261.0,43.2,23040000,1
10995,USA,United States,2008,97,100,4.89005655040945,77634.82,43261.0,43.2,23040000,1
10996,USA,United States,2008,98,100,4.946859053568833,88482.84,43261.0,43.2,23040000,1
10997,USA,United States,2008,99,100,5.028429962012261,106765.26,43261.0,43.2,23040000,1
10998,USA,United States,2008,100,100,5.247797918308344,176928.55,43261.0,43.2,23040000,1
8299,PAK,Pakistan,2008,1,100,2.439632364157953,275.18982,2335.0,30.0,171648986,2
8300,PAK,Pakistan,2008,2,100,2.5125410927451153,325.49258,2335.0,30.0,171648986,2
8301,PAK,Pakistan,2008,3,100,2.5402364231752057,346.92566,2335.0,30.0,171648986,2
8302,PAK,Pakistan,2008,4,100,2.5610799428125524,363.98203,2335.0,30.0,171648986,2
8303,PAK,Pakistan,2008,5,100,2.578355645728466,378.75262000000004,2335.0,30.0,171648986,2
8304,PAK,Pakistan,2008,6,100,2.5932533385959666,391.97046,2335.0,30.0,171648986,2
8305,PAK,Pakistan,2008,7,100,2.6036995030613177,401.5129,2335.0,30.0,171648986,2
8306,PAK,Pakistan,2008,8,100,2.6147669397742757,411.87642999999997,2335.0,30.0,171648986,2
8307,PAK,Pakistan,2008,9,100,2.6275281233518695,424.15845,2335.0,30.0,171648986,2
8308,PAK,Pakistan,2008,10,100,2.636355431381588,432.86795,2335.0,30.0,171648986,2
8309,PAK,Pakistan,2008,11,100,2.64448036245181,441.04242,2335.0,30.0,171648986,2
8310,PAK,Pakistan,2008,12,100,2.6518948942613103,448.6368,2335.0,30.0,171648986,2
